Name,Restaurant_Type,Address,Zip_Code,Phone
Funky Fisch,Fischrestaurant,Kantstr. 135-136,10625 Berlin–Charlottenburg,(030) 235 316 86
Galija am Schloss,Mediterranes Restaurant,Otto-Suhr-Allee 139 - Ecke Lohmeyerstraße,10585 Berlin–Charlottenburg,(030) 341 704 1
Gasthaus Kastanie,Deutsches Restaurant,Schloßstr. 22,14059 Berlin–Charlottenburg,(030) 321 503 4
Gasthaus Krombach,Deutsches Restaurant,Meinekestr. 4,10719 Berlin–Charlottenburg,(030) 881 860 2
Gasthaus Stelzeneder,Oesterreichisches Restaurant,Zillestr. 113,10585 Berlin–Charlottenburg,(030) 347 086 42
Georgios Restaurant,Griechisches Restaurant,Bayerische Str. 26,10707 Berlin–Charlottenburg,(030) 883 174 6
Restaurant Glass,Internationales Restaurant,Uhlandstr. 195,10623 Berlin–Charlottenburg,(030) 547 108 61
Glaube Liebe Hoffnung,Mediterranes Restaurant,Neufertstr. 16,14059 Berlin–Charlottenburg,None
Go Go Hachi,Sushirestaurant,Lotte-Lenya-Bogen 558,10623 Berlin–Charlottenburg,(030) 318 010 25
Goldhorn Beefclub,Steakhaus,Mommsenstr. 12,10629 Berlin–Charlottenburg,(030) 318 063 70
Good Friends,Chinesisches Restaurant,Kantstr. 30,10623 Berlin–Charlottenburg,(030) 313 265 9
Grace Restaurant,Internationales Restaurant,Kurfürstendamm 25 - im Hotel Zoo Berlin,10719 Berlin–Charlottenburg,(030) 884 377 50
Graffiti,Internationales Restaurant,Kurfürstendamm 69,10707 Berlin–Charlottenburg,(030) 880 017 64
Grand Café Saint Germain,Franzoesisches Restaurant,Savignyplatz 13,10623 Berlin–Charlottenburg,(030) 319 910 99
Green Flavor,Chinesisches Restaurant,Kantstr. 22,10623 Berlin–Charlottenburg,(030) 522 848 16
Green Papaya,Vietnamesisches Restaurant,Pestalozzistr. 33,10627 Berlin–Charlottenburg,(030) 364 126 02
Grill Lokanta,Tuerkisches Restaurant,Kaiserdamm 22,14057 Berlin–Charlottenburg,(030) 302 467 6
Gül Restaurant,Tuerkisches Restaurant,Krumme Str. 55,10627 Berlin–Charlottenburg,(030) 818 054 63
Gusto Giusto,Imbiss,Kaiserdamm 110,14057 Berlin–Charlottenburg,(030) 303 061 31
Habels Lindenwirtin GbR,Deutsches Restaurant,Lindenallee 28,14050 Berlin–Charlottenburg,(030) 302 774 7
Restaurant Hafis,Persisches Restaurant,Neue Kantstr. 17,14057 Berlin–Charlottenburg,(030) 337 710 10
Hanoi,Vietnamesisches Restaurant,Kantstraße 15,10623 Berlin–Charlottenburg,None
Hanoi's Corner,Vietnamesisches Restaurant,Leibnizstr. 56,10629 Berlin–Charlottenburg,None
Hard Rock Café,Amerikanisches Restaurant,Kurfürstendamm 224,10719 Berlin–Charlottenburg,(030) 884 620
Hasir,Tuerkisches Restaurant,Nürnberger Str. 47,10789 Berlin–Charlottenburg,None
Heisser Wolf,Imbiss,Wilmersdorfer Str. 46,10627 Berlin–Charlottenburg,(030) 925 296 393
Heno Heno,Japanisches Restaurant,Wielandstr. 37,10629 Berlin–Charlottenburg,(030) 663 073 70
Ho Lin Wah,Chinesisches Restaurant,Kurfürstendamm 218,10719 Berlin–Charlottenburg,(030) 882 117 1
Hoffgarten,Deutsches Restaurant,Schloßstr. 60,14059 Berlin–Charlottenburg,(030) 370 27 000
I Due,Italienisches Restaurant,Kaiserdamm 40,14057 Berlin–Charlottenburg,(030) 302 207 7
Il Cardinale,Italienisches Restaurant,Olympische Straße 2,14052 Berlin–Charlottenburg,None
Restaurant Il Cortegiano,Italienisches Restaurant,Spandauer Damm 23,14059 Berlin–Charlottenburg,(030) 321 539 2
Il Porto,Italienisches Restaurant,Angerburger Allee 45,14055 Berlin–Charlottenburg,None
Il Pozetto,Italienisches Restaurant,Helmholtzstr. 30,10587 Berlin–Charlottenburg,(030) 399 678 0
Imbiss Hasenecke,Imbiss,Savignyplatz 11,10623 Berlin–Charlottenburg,(030) 395 008 09
Imbiss Schlemmerkiste,Imbiss,Quedlinburger Str. 2,10589 Berlin–Charlottenburg,(030) 345 143 3
Istanbul Restaurant,Tuerkisches Restaurant,Pestalozzistr. 84,10627 Berlin–Charlottenburg,(030) 883 277 7
Jim Block Restaurantbetriebe GmbH,Amerikanisches Restaurant,Wilmersdorfer Str. 115-118,10627 Berlin–Charlottenburg,(030) 364 120 50
Jules Verne,Internationales Restaurant,Schlüterstr. 61,10625 Berlin–Charlottenburg,(030) 318 094 10
Kaiserin Imbiss,Imbiss,Kaiserin-Augusta-Allee 91,10589 Berlin–Charlottenburg,(030) 345 033 75
Kalus Restaurant,Internationales Restaurant,Ansbacher Str. 8,10787 Berlin–Charlottenburg,(030) 548 364 22
Kartoffelkiste im Europacenter,Kartoffelrestaurant,Tauentzienstr. 9-12,10789 Berlin–Charlottenburg,(030) 261 425 4
Restaurant Karun,Persisches Restaurant,Pestalozzistr. 29,10627 Berlin–Charlottenburg,(030) 315 197 15
Katsudo,Japanisches Restaurant,Goethestr. 37-38,10625 Berlin–Charlottenburg,(030) 530 636 36
KFC Kentucky Fried Chicken,Fast Food,Tauentzienstr. 9,10789 Berlin–Charlottenburg,(030) 263 662 83
Thai-Restaurant Kien-Du,Thailaendisches Restaurant,Kaiser-Friedrich-Str. 89,10585 Berlin–Charlottenburg,(030) 341 144 7
Klemkes Wein- und Spezialitäteneck,Imbiss,Mommsenstr. 9,10629 Berlin–Charlottenburg,(030) 881 190 9
KLX - Koshary Lux,Arabisches Restaurant,Grolmanstr. 27,10623 Berlin–Charlottenburg,None
Restaurant Konoba,Internationales Restaurant,Otto-Suhr-Allee 17,10585 Berlin–Charlottenburg,(030) 341 262 7
Kuchi,Sushirestaurant,Kantstr. 30,10623 Berlin–Charlottenburg,(030) 315 078 15
Kurpfalz-Weinstuben GmbH,Deutsches Restaurant,Wilmersdorfer Str. 93,10629 Berlin–Charlottenburg,(030) 883 666 4
Kushinoya,Japanisches Restaurant,Bleibtreustr. 6,10623 Berlin–Charlottenburg,(030) 318 098 97
La Batea,Internationales Restaurant,Krumme Str. 42,10627 Berlin–Charlottenburg,(030) 313 634 6
La Bella Sicilia,Italienisches Restaurant,Knobelsdorffstr. 37,14059 Berlin–Charlottenburg,(030) 245 365 34
La Caleta,Spanisches Restaurant,Wielandstr. 26a,10707 Berlin–Charlottenburg,(030) 886 274 75
Ristorante La Cantina UG (haftungsbeschrängt) & CO. Betriebs KG,Italienisches Restaurant,Bleibtreustr. 17,10623 Berlin–Charlottenburg,None
La Cantina Rosso,Italienisches Restaurant,Lietzenburger Str. 83,10719 Berlin–Charlottenburg,None
La Gioconda,Italienisches Restaurant,Olivaer Platz 16,10707 Berlin–Charlottenburg,None
La Sepia,Spanisches Restaurant,Marburger Str. 2,10789 Berlin–Charlottenburg,(030) 213 558 5
Ristorante Latino,Italienisches Restaurant,Uhlandstr. 4-5,10623 Berlin–Charlottenburg,None
Le Petit Royal,Franzoesisches Restaurant,Grolmanstr. 59,10623 Berlin–Charlottenburg,(030) 330 060 750
Leesha Bistro,Persisches Restaurant,Dahlmannstr. 20,10629 Berlin–Charlottenburg,(030) 323 035 31
Let's go Sylt,Fischrestaurant,Kurfürstendamm 212,10719 Berlin–Charlottenburg,(030) 886 828 00
LimaLima,Italienisches Restaurant,Schlüterstr. 74,10625 Berlin–Charlottenburg,None
Lindner,Imbiss,Reichsstr. 4,14052 Berlin–Charlottenburg,(030) 302 509 2
Lin's Mandarin,Asiatisches Restaurant,Spandauer Damm 181-183,14050 Berlin–Charlottenburg,(030) 319 998 85
L'Olivio,Italienisches Restaurant,Leibnizstr. 74,10625 Berlin–Charlottenburg,(030) 323 039 97
Lon Men’s Noodlehouse,Chinesisches Restaurant,Kantstr. 33,10625 Berlin–Charlottenburg,(030) 315 196 78
Lotus,Indisches Restaurant,Kantstr. 70,10627 Berlin–Charlottenburg,(030) 239 483 40
Lotus Lounge,Vegetarisches Restaurant,Soorstr. 85,14050 Berlin–Charlottenburg,(030) 232 550 65
Mateo-Looi Sushi Restaurant,Sushirestaurant,Reichsstr. 102,14052 Berlin–Charlottenburg,(030) 325 985 38
Madame Ngo,Vietnamesisches Restaurant,Kantstr. 30,10623 Berlin–Charlottenburg,(030) 602 745 85
Ma'Loa Poke,Amerikanisches Restaurant,Kantstr. 48,10625 Berlin–Charlottenburg,(030)  314 890 20
Mamma Monti,Italienisches Restaurant,Carmerstr. 11,10623 Berlin–Charlottenburg,None
Mandira,Indisches Restaurant,Königin-Elisabeth-Str. 52,14059 Berlin–Charlottenburg,(030) 265 793 00
Manjurani,Indisches Restaurant,Knesebeckstr. 4,10623 Berlin–Charlottenburg,None
Marjellchen,Deutsches Restaurant,Mommsenstr. 9,10629 Berlin–Charlottenburg,(030) 883 267 6
Marooush Restaurant,Arabisches Restaurant,Knesebeckstr. 48,10719 Berlin–Charlottenburg,(030) 887 118 335
Masala,Indisches Restaurant,Friedbergstr. 38 - Ecke Suarezstr.,14057 Berlin–Charlottenburg,(030) 484 817 87
McDonald's,Fast Food,Hardenbergplatz 11,10623 Berlin–Charlottenburg,(030) 308 278 33
McDonald's,Fast Food,Kantstr. 111a,10627 Berlin–Charlottenburg,(030) 327 019 30
McDonald's,Fast Food,Wilmersdorfer Str. 46,10627 Berlin–Charlottenburg,(030) 310 049 33
Inh. Linh Tran,Vietnamesisches Restaurant,Knobelsdorffstr. 27,14059 Berlin–Charlottenburg,(030) 279 842 73
Steakhaus Mendoza,Argentinisches Restaurant,Spandauer Damm 157,14050 Berlin–Charlottenburg,(030) 305 151 5
Mille Lire - Tavola Calda,Italienisches Restaurant,Suarezstr. 61,14057 Berlin–Charlottenburg,None
Minakami,Japanisches Restaurant,Kantstr. 50,10627 Berlin–Charlottenburg,(030) 688 366 19
Mine,Italienisches Restaurant,Meinekestr. 10,10719 Berlin–Charlottenburg,(030) 889 263 63
Minh-Trang,Vietnamesisches Restaurant,Kantstr. 67,10627 Berlin–Charlottenburg,(030) 318 011 17
Mirko,Kroatisches Restaurant,Windscheidstr. 40,10627 Berlin–Charlottenburg,(030) 313 691 9
Mittendrin,Internationales Restaurant,Pestalozzistr. 83,10627 Berlin–Charlottenburg,(030) 284 977 40
Momiji,Japanisches Restaurant,Bleibtreustr. 52,10623 Berlin–Charlottenburg,(030) 552 864 06
Mommsen-Eck Charlottenburg - Haus der 100 Biere,Deutsches Restaurant,Mommsenstr. 45,10629 Berlin–Charlottenburg,(030) 324 258 0
Mondo Pazzo,Italienisches Restaurant,Schlüterstr. 52,10629 Berlin–Charlottenburg,(030) 885 112 1
Restaurant Moustache,Franzoesisches Restaurant,Galvanistr. 12,10587 Berlin–Charlottenburg,(030) 342 309 4
Mr. Chai Wala,Indisches Restaurant,Kantstr. 31,10625 Berlin–Charlottenburg,(030) 922 106 55
Mylos,Griechisches Restaurant,Holtzendorffstr. 20,14057 Berlin–Charlottenburg,(030) 323 816 3
Naardoun,Persisches Restaurant,Windscheidstr. 27,10627 Berlin–Charlottenburg,(030) 915 745 48
Natural’Mente,Vegetarisches Restaurant,Schustehrusstr. 26,10585 Berlin–Charlottenburg,(030) 341 416 6
Neni,Arabisches Restaurant,Budapester Str. 40,10787 Berlin–Charlottenburg,(030) 120 221 20
Nordsee,Fast Food,Wilmersdorfer Str. 46,10627 Berlin–Charlottenburg,(030) 318 014 70
Nu,Panasiatisches Restaurant,Schlüterstr. 55 - Ecke Niebuhrstr.,10629 Berlin–Charlottenburg,(030) 887 098 11
Nußbaumerin,Oesterreichisches Restaurant,Leibnizstr. 55,10629 Berlin–Charlottenburg,(030) 501 780 33
Omi Rosis Suppen,Suppenbar,Sophie-Charlotten-Str. 107,14059 Berlin–Charlottenburg,(030) 857 429 13
Opera Italiana,Italienisches Restaurant,Spandauer Damm 5,14059 Berlin–Charlottenburg,(030) 347 036 26
Bulut & Yanik GbR,Tuerkisches Restaurant,Wielandstraße 38,10629 Berlin–Charlottenburg,(0176) 320 921 68
Osteria Centrale,Italienisches Restaurant,Bleibtreustr. 51,10623 Berlin–Charlottenburg,(030) 310 132 63
Osteria Culaccino,Italienisches Restaurant,Grolmanstr. 21,10623 Berlin–Charlottenburg,None
Osteria Ferrari,Italienisches Restaurant,Holtzendorffstr. 1,14057 Berlin–Charlottenburg,(030) 374 674 94
Ottavio GmbH,Italienisches Restaurant,Knesebeckstr. 29,10623 Berlin–Charlottenburg,(030) 889 108 25
Ottenthal Restaurant & Weinhandlung,Oesterreichisches Restaurant,Kantstr. 153,10623 Berlin–Charlottenburg,(030) 313 316 2
Ovest,Italienisches Restaurant,Schlüterstr. 47,10629 Berlin–Charlottenburg,None
Restaurant Paella,Mexikanisches Restaurant,Wundtstr. 72 - Ecke Neue Kantstraße,14057 Berlin–Charlottenburg,None
Pan Degli Angeli,Italienisches Restaurant,Stuttgarter Platz 20,10627 Berlin–Charlottenburg,None
Pane e Vino,Italienisches Restaurant,Sybelstr. 46,10629 Berlin–Charlottenburg,(030) 310 185 11
Papaya in der Kantstraße,Thailaendisches Restaurant,Kantstr. 122,10625 Berlin–Charlottenburg,(030) 319 975 72
Paris Bar,Franzoesisches Restaurant,Kantstr. 152,10623 Berlin–Charlottenburg,(030) 313 805 2
Pascarella,Italienisches Restaurant,Schlüterstr. 69,10625 Berlin–Charlottenburg,None
Pho Nguyen 68,Vietnamesisches Restaurant,Savignyplatz 11 - Eingang neben Kantstr. 145,10623 Berlin–Charlottenburg,(030) 450 874 95
Piccola Taormina,Italienisches Restaurant,Uhlandstr. 29,10719 Berlin–Charlottenburg,(030) 467 391 41
Ristorante Piccolo Mondo,Italienisches Restaurant,Reichsstr. 9,14052 Berlin–Charlottenburg,(030) 301 020 30
Pinoy - Philippinische Spezialitäten,Asiatisches Restaurant,Danckelmannstr. 49,14059 Berlin–Charlottenburg,(030) 554 611 85
Pizza Bleibtreu,Pizzeria,Bleibtreustr. 41,10623 Berlin–Charlottenburg,(030) 883 477 8
Pizza Max,Pizzaservice,Kaiserin-Augusta-Allee 92,10589 Berlin–Charlottenburg,(030) 344 707 8
Pizzeria Oregano,Pizzeria,Dahlmannstr. 22,10629 Berlin–Charlottenburg,(030) 355 213 40
Portofino,Italienisches Restaurant,Kantstr. 63,10627 Berlin–Charlottenburg,(030) 323 605 3
Restaurant Pratirio,Griechisches Restaurant,Knesebeckstr. 22,10623 Berlin–Charlottenburg,(030) 547 109 30
Preußisches Landwirtshaus,Deutsches Restaurant,Flatowallee 23,14055 Berlin–Charlottenburg,(030) 304 402 3
Prism,Arabisches Restaurant,Fritschetstr. 48,10627 Berlin–Charlottenburg,(030) 547 108 61
QuedlinBurger,Burger,Quedlinburger Str. 3,10589 Berlin–Charlottenburg,None
Indian Restaurant Rasas,Indisches Restaurant,Bayernallee 42a,14052 Berlin–Charlottenburg,(030) 337 729 41
Restaurant Redelsheimer,Deutsches Restaurant,Kurfürstendamm 47 - im Hotel Mondial,10707 Berlin–Charlottenburg,(030) 884 111 52
Reinhard's am Kurfüstendamm,Deutsches Restaurant,Kurfürstendamm 27,10719 Berlin–Charlottenburg,(030) 204 545 45
Repke Spätzlerei,Schwaebisches Restaurant,Bleibtreustr. 46,10623 Berlin–Charlottenburg,(030) 887 186 72
Al Mundo,Mediterranes Restaurant,Horstweg 5,14059 Berlin–Charlottenburg,None
Restaurant am Steinplatz,Gourmetrestaurant,Steinplatz 4 - im Hotel am Steinplatz,10623 Berlin–Charlottenburg,(030) 554 444 0
Restaurant Brikz,Deutsches Restaurant,Grolmanstraße 53/54,10623 Berlin–Charlottenburg,(030) 318 037 80
Restaurant Capone,Italienisches Restaurant,Kurfürstendamm 202,10719 Berlin–Charlottenburg,(030) 896 115 49
Restaurant Heising,Franzoesisches Restaurant,Rankestr. 32,10789 Berlin–Charlottenburg,(030) 213 395 2
Restaurant im International Club Berlin,Internationales Restaurant,Thüringer Allee 5-11,14052 Berlin–Charlottenburg,(030) 306 722 23
Restaurant Louis Laurent,Franzoesisches Restaurant,Giesebrechtstr. 16,10629 Berlin–Charlottenburg,(030) 224 325 29
